"","Carpinteria.interaction.type","Carpinteria.con.taxonomy","Carpinteria.con.taxonomy.level","Carpinteria.con.common","Carpinteria.con.lifestage","Carpinteria.res.taxonomy","Carpinteria.res.taxonomy.level","Carpinteria.res.common","Carpinteria.res.lifestage","Carpinteria.con_taxon_id","Carpinteria.res_taxon_id"
"1123",NA,"Limosa fedoa","species","Marbled Godwit","adults","Stictodora hancocki","species","Stictodora hancocki","metacercaria",55,109
"1124",NA,"Recurvirostra americana","species","American Avocet","adults","Phocitremoides ovale","species","Phocitremoides ovale","metacercaria",85,89
"1125",NA,"Ceryle alcyon","species","Belted Kingfisher","adults","Euhaplorchis californiensis","species","Euhaplorchis californiensis","metacercaria",27,46
"1126",NA,"Corvus brachyrhynchos","species","American Crow","adults","Renicola buchanani","species","Renicola buchanani","metacercaria",32,102
"1127",NA,"Procyon locator","species","Raccoon","adults","Himasthla rhigedana","species","Himasthla rhigedana","metacercaria",82,55
"1128",NA,"Egretta caerulea","species","Little Blue Heron","adults","Stictodora hancocki","species","Stictodora hancocki","metacercaria",36,109
"1129",NA,"Egretta thula","species","Snowy Egret","adults","Renicola buchanani","species","Renicola buchanani","metacercaria",37,102
"1130",NA,"Limosa fedoa","species","Marbled Godwit","adults","Renicola buchanani","species","Renicola buchanani","metacercaria",55,102
"1131",NA,"Catoptrophorus semipalmatus","species","Willet","adults","Phocitremoides ovale","species","Phocitremoides ovale","metacercaria",26,89
"1132",NA,"Egretta caerulea","species","Little Blue Heron","adults","Renicola buchanani","species","Renicola buchanani","metacercaria",36,102
"1133",NA,"Recurvirostra americana","species","American Avocet","adults","Stictodora hancocki","species","Stictodora hancocki","metacercaria",85,109
"1134",NA,"Limnodromus scilopaceus","species","Long-billed Dowitcher","adults","Catatropis johnstoni","species","Catatropis johnstoni","metacercaria",54,26
"1135",NA,"Butorides virescens","species","Green Heron","adults","Phocitremoides ovale","species","Phocitremoides ovale","metacercaria",19,89
"1136",NA,"Recurvirostra americana","species","American Avocet","adults","Renicola buchanani","species","Renicola buchanani","metacercaria",85,102
"1137",NA,"Catoptrophorus semipalmatus","species","Willet","adults","Stictodora hancocki","species","Stictodora hancocki","metacercaria",26,109
"1138",NA,"Pluvialis squatarola","species","Black-bellied Plover","adults","Phocitremoides ovale","species","Phocitremoides ovale","metacercaria",77,89
"1139",NA,"Procyon locator","species","Raccoon","adults","Gyrodactylus sp.","genus","Gyrodactylus sp.","adults",82,52
"1140",NA,"Limnodromus scilopaceus","species","Long-billed Dowitcher","adults","Euhaplorchis californiensis","species","Euhaplorchis californiensis","metacercaria",54,46
"1141",NA,"Anas platyrhynchos","species","Mallard","adults","Cloacitrema michiganiensis","species","Cloacitrema michiganiensis","metacercaria",11,34
"1142",NA,"Anas platyrhynchos","species","Mallard","adults","Parorchis acanthus","species","Parorchis acanthus","metacercaria",11,86
"1143",NA,"Larus philadelphia","species","Bonaparte's Gull","adults","Phocitremoides ovale","species","Phocitremoides ovale","metacercaria",52,89
"1144",NA,"Catoptrophorus semipalmatus","species","Willet","adults","Renicola buchanani","species","Renicola buchanani","metacercaria",26,102
"1145",NA,"Accipiter cooperi","species","Cooper's Hawk","adults","Euhaplorchis californiensis","species","Euhaplorchis californiensis","adults",3,46
"1146",NA,"Butorides virescens","species","Green Heron","adults","Stictodora hancocki","species","Stictodora hancocki","metacercaria",19,109
"1147",NA,"Ceryle alcyon","species","Belted Kingfisher","adults","Renicola cerithidicola","species","Renicola cerithidicola","metacercaria",27,103
"1148",NA,"Pluvialis squatarola","species","Black-bellied Plover","adults","Stictodora hancocki","species","Stictodora hancocki","metacercaria",77,109
"1149",NA,"Aechmophorus occidentalis","species","Western Grebe","adults","Mesostephanus appendiculatus","species","Mesostephanus appendiculatus","metacercaria",5,73
"1150",NA,"Butorides virescens","species","Green Heron","adults","Renicola buchanani","species","Renicola buchanani","metacercaria",19,102
"1151",NA,"Larus philadelphia","species","Bonaparte's Gull","adults","Stictodora hancocki","species","Stictodora hancocki","metacercaria",52,109
"1152",NA,"Limnodromus scilopaceus","species","Long-billed Dowitcher","adults","Parvatrema sp.","genus","Parvatrema sp.","metacercaria",54,87
"1153",NA,"Melanitta perspicillata","species","Surf Scoter","adults","Cloacitrema michiganiensis","species","Cloacitrema michiganiensis","metacercaria",59,34
"1154",NA,"Melanitta perspicillata","species","Surf Scoter","adults","Parorchis acanthus","species","Parorchis acanthus","metacercaria",59,86
"1155",NA,"Pluvialis squatarola","species","Black-bellied Plover","adults","Renicola buchanani","species","Renicola buchanani","metacercaria",77,102
"1156",NA,"Tringa melanoleuca","species","Greater Yellowlegs","adults","Phocitremoides ovale","species","Phocitremoides ovale","metacercaria",98,89
"1157",NA,"Larus philadelphia","species","Bonaparte's Gull","adults","Renicola buchanani","species","Renicola buchanani","metacercaria",52,102
"1158",NA,"Nycticorax nycticorax","species","Black-crowned Night Heron","adults","Cloacitrema michiganiensis","species","Cloacitrema michiganiensis","metacercaria",65,34
"1159",NA,"Nycticorax nycticorax","species","Black-crowned Night Heron","adults","Parorchis acanthus","species","Parorchis acanthus","metacercaria",65,86
"1160",NA,"Mergus serrator","species","Red-breasted Merganser","adults","Mesostephanus appendiculatus","species","Mesostephanus appendiculatus","metacercaria",60,73
"1161",NA,"Ceryle alcyon","species","Belted Kingfisher","adults","Phocitremoides ovale","species","Phocitremoides ovale","metacercaria",27,89
"1162",NA,"Accipiter cooperi","species","Cooper's Hawk","adults","Phocitremoides ovale","species","Phocitremoides ovale","adults",3,89
"1163",NA,"Tringa melanoleuca","species","Greater Yellowlegs","adults","Stictodora hancocki","species","Stictodora hancocki","metacercaria",98,109
"1164",NA,"Numenius americanus","species","Long-billed Curlew","adults","Cloacitrema michiganiensis","species","Cloacitrema michiganiensis","metacercaria",62,34
"1165",NA,"Numenius americanus","species","Long-billed Curlew","adults","Parorchis acanthus","species","Parorchis acanthus","metacercaria",62,86
"1166",NA,"Oxyura jamaicensis","species","Ruddy Duck","adults","Renicola sp.","genus","Renicola sp.","metacercaria",67,104
"1167",NA,"Limnodromus scilopaceus","species","Long-billed Dowitcher","adults","Renicola cerithidicola","species","Renicola cerithidicola","metacercaria",54,103
"1168",NA,"Larus californicus","species","California Gull","adults","Cloacitrema michiganiensis","species","Cloacitrema michiganiensis","metacercaria",49,34
"1169",NA,"Larus californicus","species","California Gull","adults","Parorchis acanthus","species","Parorchis acanthus","metacercaria",49,86
"1170",NA,"Tringa melanoleuca","species","Greater Yellowlegs","adults","Renicola buchanani","species","Renicola buchanani","metacercaria",98,102
"1171",NA,"Egretta alba","species","Great Egret","adults","Mesostephanus appendiculatus","species","Mesostephanus appendiculatus","metacercaria",35,73
"1172",NA,"Nycticorax nycticorax","species","Black-crowned Night Heron","adults","Mesostephanus appendiculatus","species","Mesostephanus appendiculatus","metacercaria",65,73
"1173",NA,"Ceryle alcyon","species","Belted Kingfisher","adults","Stictodora hancocki","species","Stictodora hancocki","metacercaria",27,109
"1174",NA,"Calidris alpina","species","Dunlin","adults","Catatropis johnstoni","species","Catatropis johnstoni","metacercaria",20,26
"1175",NA,"Fulica americana","species","American Coot","adults","Cloacitrema michiganiensis","species","Cloacitrema michiganiensis","metacercaria",39,34
"1176",NA,"Fulica americana","species","American Coot","adults","Parorchis acanthus","species","Parorchis acanthus","metacercaria",39,86
"1177",NA,"Ceryle alcyon","species","Belted Kingfisher","adults","Renicola buchanani","species","Renicola buchanani","metacercaria",27,102
"1178",NA,"Numenius americanus","species","Long-billed Curlew","adults","Mesostephanus appendiculatus","species","Mesostephanus appendiculatus","metacercaria",62,73
"1179",NA,"Calidris alpina","species","Dunlin","adults","Euhaplorchis californiensis","species","Euhaplorchis californiensis","metacercaria",20,46
"1180",NA,"Larus californicus","species","California Gull","adults","Mesostephanus appendiculatus","species","Mesostephanus appendiculatus","metacercaria",49,73
"1181",NA,"Limnodromus scilopaceus","species","Long-billed Dowitcher","adults","Phocitremoides ovale","species","Phocitremoides ovale","metacercaria",54,89
"1182",NA,"Actitis macularia","species","Spotted Sandpiper","adults","Catatropis johnstoni","species","Catatropis johnstoni","metacercaria",4,26
"1183",NA,"Oxyura jamaicensis","species","Ruddy Duck","adults","Cloacitrema michiganiensis","species","Cloacitrema michiganiensis","metacercaria",67,34
"1184",NA,"Oxyura jamaicensis","species","Ruddy Duck","adults","Parorchis acanthus","species","Parorchis acanthus","metacercaria",67,86
"1185",NA,"Procyon locator","species","Raccoon","adults","Carcinonemertes sp.","species","Carcinonemertes sp.","adults",82,24
"1186",NA,"Sterna caspia","species","Caspian Tern","adults","Mesostephanus appendiculatus","species","Mesostephanus appendiculatus","metacercaria",91,73
"1187",NA,"Larus delawarensis","species","Ring-billed Gull","adults","Cloacitrema michiganiensis","species","Cloacitrema michiganiensis","metacercaria",51,34
"1188",NA,"Larus delawarensis","species","Ring-billed Gull","adults","Parorchis acanthus","species","Parorchis acanthus","metacercaria",51,86
"1189",NA,"Anas platyrhynchos","species","Mallard","adults","Acanthoparyphium spinulosum","species","Acanthoparyphium spinulosum","metacercaria",11,2
"1190",NA,"Ardea herodius","species","Great Blue Heron","adults","Gyrodactylus sp.","genus","Gyrodactylus sp.","adults",13,52
"1191",NA,"Limosa fedoa","species","Marbled Godwit","adults","Renicola sp.","genus","Renicola sp.","metacercaria",55,104
"1192",NA,"Limnodromus scilopaceus","species","Long-billed Dowitcher","adults","Stictodora hancocki","species","Stictodora hancocki","metacercaria",54,109
"1193",NA,"Larus canus","species","Mew Gull","adults","Cloacitrema michiganiensis","species","Cloacitrema michiganiensis","metacercaria",50,34
"1194",NA,"Larus canus","species","Mew Gull","adults","Parorchis acanthus","species","Parorchis acanthus","metacercaria",50,86
"1195",NA,"Phalacrocorax penicillatus","species","Double-crested Cormorant","adults","Gyrodactylus sp.","genus","Gyrodactylus sp.","adults",73,52
"1196",NA,"Limnodromus scilopaceus","species","Long-billed Dowitcher","adults","Renicola buchanani","species","Renicola buchanani","metacercaria",54,102
"1197",NA,"Podilymbus podiceps","species","Pied-billed Grebe","adults","Cloacitrema michiganiensis","species","Cloacitrema michiganiensis","metacercaria",78,34
"1198",NA,"Podilymbus podiceps","species","Pied-billed Grebe","adults","Parorchis acanthus","species","Parorchis acanthus","metacercaria",78,86
"1199",NA,"Larus delawarensis","species","Ring-billed Gull","adults","Mesostephanus appendiculatus","species","Mesostephanus appendiculatus","metacercaria",51,73
"1200",NA,"Recurvirostra americana","species","American Avocet","adults","Renicola sp.","genus","Renicola sp.","metacercaria",85,104
"1201",NA,"Numenius phaeopus","species","Whimbrel","adults","Cloacitrema michiganiensis","species","Cloacitrema michiganiensis","metacercaria",63,34
"1202",NA,"Numenius phaeopus","species","Whimbrel","adults","Parorchis acanthus","species","Parorchis acanthus","metacercaria",63,86
"1203",NA,"Bucephala albeola","species","Bufflehead","adults","Cloacitrema michiganiensis","species","Cloacitrema michiganiensis","metacercaria",18,34
"1204",NA,"Bucephala albeola","species","Bufflehead","adults","Parorchis acanthus","species","Parorchis acanthus","metacercaria",18,86
"1205",NA,"Melanitta perspicillata","species","Surf Scoter","adults","Acanthoparyphium spinulosum","species","Acanthoparyphium spinulosum","metacercaria",59,2
"1206",NA,"Corvus brachyrhynchos","species","American Crow","adults","Cloacitrema michiganiensis","species","Cloacitrema michiganiensis","metacercaria",32,34
"1207",NA,"Corvus brachyrhynchos","species","American Crow","adults","Parorchis acanthus","species","Parorchis acanthus","metacercaria",32,86
"1208",NA,"Tagelus californianus","species","California Jackknife Clam","adults","Parvatrema sp.","genus","Parvatrema sp.","cercaria",94,87
"1209",NA,"Larus canus","species","Mew Gull","adults","Mesostephanus appendiculatus","species","Mesostephanus appendiculatus","metacercaria",50,73
"1210",NA,"Egretta thula","species","Snowy Egret","adults","Cloacitrema michiganiensis","species","Cloacitrema michiganiensis","metacercaria",37,34
"1211",NA,"Egretta thula","species","Snowy Egret","adults","Parorchis acanthus","species","Parorchis acanthus","metacercaria",37,86
"1212",NA,"Limosa fedoa","species","Marbled Godwit","adults","Cloacitrema michiganiensis","species","Cloacitrema michiganiensis","metacercaria",55,34
"1213",NA,"Limosa fedoa","species","Marbled Godwit","adults","Parorchis acanthus","species","Parorchis acanthus","metacercaria",55,86
"1214",NA,"Calidris alpina","species","Dunlin","adults","Renicola cerithidicola","species","Renicola cerithidicola","metacercaria",20,103
"1215",NA,"Catoptrophorus semipalmatus","species","Willet","adults","Renicola sp.","genus","Renicola sp.","metacercaria",26,104
"1216",NA,"Anas platyrhynchos","species","Mallard","adults","Maritrema sp.","genus","Maritrema sp.","metacercaria",11,69
"1217",NA,"Egretta caerulea","species","Little Blue Heron","adults","Cloacitrema michiganiensis","species","Cloacitrema michiganiensis","metacercaria",36,34
"1218",NA,"Egretta caerulea","species","Little Blue Heron","adults","Parorchis acanthus","species","Parorchis acanthus","metacercaria",36,86
"1219",NA,"Podilymbus podiceps","species","Pied-billed Grebe","adults","Mesostephanus appendiculatus","species","Mesostephanus appendiculatus","metacercaria",78,73
"1220",NA,"Anas americana","species","American Wigeon","adults","Acanthoparyphium spinulosum","species","Acanthoparyphium spinulosum","metacercaria",7,2
"1221",NA,"Anas platyrhynchos","species","Mallard","adults","Himasthla rhigedana","species","Himasthla rhigedana","metacercaria",11,55
"1222",NA,"Numenius americanus","species","Long-billed Curlew","adults","Acanthoparyphium spinulosum","species","Acanthoparyphium spinulosum","metacercaria",62,2
"1223",NA,"Corvus brachyrhynchos","species","American Crow","adults","Mesostephanus appendiculatus","species","Mesostephanus appendiculatus","metacercaria",32,73
"1224",NA,"Calidris mauri","species","Western Sandpiper","adults","Catatropis johnstoni","species","Catatropis johnstoni","metacercaria",21,26
"1225",NA,"Larus californicus","species","California Gull","adults","Acanthoparyphium spinulosum","species","Acanthoparyphium spinulosum","metacercaria",49,2
"1226",NA,"Recurvirostra americana","species","American Avocet","adults","Cloacitrema michiganiensis","species","Cloacitrema michiganiensis","metacercaria",85,34
"1227",NA,"Recurvirostra americana","species","American Avocet","adults","Parorchis acanthus","species","Parorchis acanthus","metacercaria",85,86
"1228",NA,"Pluvialis squatarola","species","Black-bellied Plover","adults","Renicola sp.","genus","Renicola sp.","metacercaria",77,104
"1229",NA,"Egretta thula","species","Snowy Egret","adults","Mesostephanus appendiculatus","species","Mesostephanus appendiculatus","metacercaria",37,73
"1230",NA,"Limosa fedoa","species","Marbled Godwit","adults","Mesostephanus appendiculatus","species","Mesostephanus appendiculatus","metacercaria",55,73
"1231",NA,"Calidris alpina","species","Dunlin","adults","Phocitremoides ovale","species","Phocitremoides ovale","metacercaria",20,89
"1232",NA,"Melanitta perspicillata","species","Surf Scoter","adults","Maritrema sp.","genus","Maritrema sp.","metacercaria",59,69
"1233",NA,"Fulica americana","species","American Coot","adults","Acanthoparyphium spinulosum","species","Acanthoparyphium spinulosum","metacercaria",39,2
"1234",NA,"Aechmophorus occidentalis","species","Western Grebe","adults","Gyrodactylus sp.","genus","Gyrodactylus sp.","adults",5,52
"1235",NA,"Calidris minutilla","species","Least Sandpiper","adults","Catatropis johnstoni","species","Catatropis johnstoni","metacercaria",22,26
"1236",NA,"Catoptrophorus semipalmatus","species","Willet","adults","Cloacitrema michiganiensis","species","Cloacitrema michiganiensis","metacercaria",26,34
"1237",NA,"Catoptrophorus semipalmatus","species","Willet","adults","Parorchis acanthus","species","Parorchis acanthus","metacercaria",26,86
"1238",NA,"Egretta caerulea","species","Little Blue Heron","adults","Mesostephanus appendiculatus","species","Mesostephanus appendiculatus","metacercaria",36,73
"1239",NA,"Melanitta perspicillata","species","Surf Scoter","adults","Himasthla rhigedana","species","Himasthla rhigedana","metacercaria",59,55
"1240",NA,"Recurvirostra americana","species","American Avocet","adults","Mesostephanus appendiculatus","species","Mesostephanus appendiculatus","metacercaria",85,73
"1241",NA,"Tagelus californianus","species","California Jackknife Clam","adults","Cloacitrema michiganiensis","species","Cloacitrema michiganiensis","cercaria",94,34
"1242",NA,"Calidris alpina","species","Dunlin","adults","Stictodora hancocki","species","Stictodora hancocki","metacercaria",20,109
"1243",NA,"Calidris minutilla","species","Least Sandpiper","adults","Euhaplorchis californiensis","species","Euhaplorchis californiensis","metacercaria",22,46
"1244",NA,"Oxyura jamaicensis","species","Ruddy Duck","adults","Acanthoparyphium spinulosum","species","Acanthoparyphium spinulosum","metacercaria",67,2
"1245",NA,"Nycticorax nycticorax","species","Black-crowned Night Heron","adults","Himasthla rhigedana","species","Himasthla rhigedana","metacercaria",65,55
"1246",NA,"Anas americana","species","American Wigeon","adults","Maritrema sp.","genus","Maritrema sp.","metacercaria",7,69
"1247",NA,"Pluvialis squatarola","species","Black-bellied Plover","adults","Cloacitrema michiganiensis","species","Cloacitrema michiganiensis","metacercaria",77,34
"1248",NA,"Pluvialis squatarola","species","Black-bellied Plover","adults","Parorchis acanthus","species","Parorchis acanthus","metacercaria",77,86
"1249",NA,"Tringa melanoleuca","species","Greater Yellowlegs","adults","Renicola sp.","genus","Renicola sp.","metacercaria",98,104
"1250",NA,"Larus delawarensis","species","Ring-billed Gull","adults","Acanthoparyphium spinulosum","species","Acanthoparyphium spinulosum","metacercaria",51,2
"1251",NA,"Mergus serrator","species","Red-breasted Merganser","adults","Gyrodactylus sp.","genus","Gyrodactylus sp.","adults",60,52
"1252",NA,"Calidris alpina","species","Dunlin","adults","Renicola buchanani","species","Renicola buchanani","metacercaria",20,102
"1253",NA,"Catoptrophorus semipalmatus","species","Willet","adults","Mesostephanus appendiculatus","species","Mesostephanus appendiculatus","metacercaria",26,73
"1254",NA,"Larus philadelphia","species","Bonaparte's Gull","adults","Cloacitrema michiganiensis","species","Cloacitrema michiganiensis","metacercaria",52,34
"1255",NA,"Larus philadelphia","species","Bonaparte's Gull","adults","Parorchis acanthus","species","Parorchis acanthus","metacercaria",52,86
"1256",NA,"Numenius americanus","species","Long-billed Curlew","adults","Himasthla rhigedana","species","Himasthla rhigedana","metacercaria",62,55
"1257",NA,"Larus canus","species","Mew Gull","adults","Acanthoparyphium spinulosum","species","Acanthoparyphium spinulosum","metacercaria",50,2
"1258",NA,"Accipiter cooperi","species","Cooper's Hawk","adults","Maritrema sp.","genus","Maritrema sp.","adults",3,69
"1259",NA,"Larus californicus","species","California Gull","adults","Himasthla rhigedana","species","Himasthla rhigedana","metacercaria",49,55
"1260",NA,"Accipiter cooperi","species","Cooper's Hawk","adults","Stictodora hancocki","species","Stictodora hancocki","adults",3,109
"1261",NA,"Fulica americana","species","American Coot","adults","Maritrema sp.","genus","Maritrema sp.","metacercaria",39,69
"1262",NA,"Butorides virescens","species","Green Heron","adults","Mesostephanus appendiculatus","species","Mesostephanus appendiculatus","metacercaria",19,73
"1263",NA,"Tagelus subteres","species","Lesser Tagelus","adults","Parvatrema sp.","genus","Parvatrema sp.","cercaria",95,87
"1264",NA,"Accipiter cooperi","species","Cooper's Hawk","adults","Renicola buchanani","species","Renicola buchanani","adults",3,102
"1265",NA,"Accipiter cooperi","species","Cooper's Hawk","adults","Renicola cerithidicola","species","Renicola cerithidicola","adults",3,103
"1266",NA,"Egretta alba","species","Great Egret","adults","Gyrodactylus sp.","genus","Gyrodactylus sp.","adults",35,52
"1267",NA,"Nycticorax nycticorax","species","Black-crowned Night Heron","adults","Gyrodactylus sp.","genus","Gyrodactylus sp.","adults",65,52
"1268",NA,"Pluvialis squatarola","species","Black-bellied Plover","adults","Mesostephanus appendiculatus","species","Mesostephanus appendiculatus","metacercaria",77,73
"1269",NA,"Ardea herodius","species","Great Blue Heron","adults","Glossocercus sp.","genus","Glossocercus sp.","plerocercoid",13,51
"1270",NA,"Bucephala albeola","species","Bufflehead","adults","Acanthoparyphium spinulosum","species","Acanthoparyphium spinulosum","metacercaria",18,2
"1271",NA,"Corvus brachyrhynchos","species","American Crow","adults","Acanthoparyphium spinulosum","species","Acanthoparyphium spinulosum","metacercaria",32,2
"1272",NA,"Larus philadelphia","species","Bonaparte's Gull","adults","Mesostephanus appendiculatus","species","Mesostephanus appendiculatus","metacercaria",52,73
"1273",NA,"Oxyura jamaicensis","species","Ruddy Duck","adults","Maritrema sp.","genus","Maritrema sp.","metacercaria",67,69
"1274",NA,"Tringa melanoleuca","species","Greater Yellowlegs","adults","Cloacitrema michiganiensis","species","Cloacitrema michiganiensis","metacercaria",98,34
"1275",NA,"Tringa melanoleuca","species","Greater Yellowlegs","adults","Parorchis acanthus","species","Parorchis acanthus","metacercaria",98,86
"1276",NA,"Phalacrocorax penicillatus","species","Double-crested Cormorant","adults","Glossocercus sp.","genus","Glossocercus sp.","plerocercoid",73,51
"1277",NA,"Numenius americanus","species","Long-billed Curlew","adults","Gyrodactylus sp.","genus","Gyrodactylus sp.","adults",62,52
"1278",NA,"Limosa fedoa","species","Marbled Godwit","adults","Acanthoparyphium spinulosum","species","Acanthoparyphium spinulosum","metacercaria",55,2
"1279",NA,"Larus californicus","species","California Gull","adults","Gyrodactylus sp.","genus","Gyrodactylus sp.","adults",49,52
"1280",NA,"Anas discors","species","Blue-winged Teal","adults","Acanthoparyphium spinulosum","species","Acanthoparyphium spinulosum","metacercaria",10,2
"1281",NA,"Oxyura jamaicensis","species","Ruddy Duck","adults","Himasthla rhigedana","species","Himasthla rhigedana","metacercaria",67,55
"1282",NA,"Anas cyanoptera","species","Cinnamon Teal","adults","Acanthoparyphium spinulosum","species","Acanthoparyphium spinulosum","metacercaria",9,2
"1283",NA,"Calidris minutilla","species","Least Sandpiper","adults","Renicola cerithidicola","species","Renicola cerithidicola","metacercaria",22,103
"1284",NA,"Anas crecca","species","Green-winged Teal","adults","Acanthoparyphium spinulosum","species","Acanthoparyphium spinulosum","metacercaria",8,2
"1285",NA,"Tagelus californianus","species","California Jackknife Clam","adults","Acanthoparyphium spinulosum","species","Acanthoparyphium spinulosum","cercaria",94,2
"1286",NA,"Accipiter cooperi","species","Cooper's Hawk","adults","Pygidiopsoides spindalis","species","Pygidiopsoides spindalis","adults",3,100
"1287",NA,"Larus delawarensis","species","Ring-billed Gull","adults","Himasthla rhigedana","species","Himasthla rhigedana","metacercaria",51,55
"1288",NA,"Limnodromus scilopaceus","species","Long-billed Dowitcher","adults","Renicola sp.","genus","Renicola sp.","metacercaria",54,104
"1289",NA,"Sterna caspia","species","Caspian Tern","adults","Gyrodactylus sp.","genus","Gyrodactylus sp.","adults",91,52
"1290",NA,"Tagelus californianus","species","California Jackknife Clam","adults","Parorchis acanthus","species","Parorchis acanthus","cercaria",94,86
"1291",NA,"Protothaca staminea","species","Pacific Littleneck Clam","adults","Acanthoparyphium spinulosum","species","Acanthoparyphium spinulosum","cercaria",83,2
"1292",NA,"Tringa melanoleuca","species","Greater Yellowlegs","adults","Mesostephanus appendiculatus","species","Mesostephanus appendiculatus","metacercaria",98,73
"1293",NA,"Larus canus","species","Mew Gull","adults","Himasthla rhigedana","species","Himasthla rhigedana","metacercaria",50,55
"1294",NA,"Recurvirostra americana","species","American Avocet","adults","Acanthoparyphium spinulosum","species","Acanthoparyphium spinulosum","metacercaria",85,2
"1295",NA,"Tagelus affinis","species","Fat Jackknife Clam","adults","Parvatrema sp.","genus","Parvatrema sp.","cercaria",93,87
"1296",NA,"Podilymbus podiceps","species","Pied-billed Grebe","adults","Maritrema sp.","genus","Maritrema sp.","metacercaria",78,69
"1297",NA,"Bucephala albeola","species","Bufflehead","adults","Maritrema sp.","genus","Maritrema sp.","metacercaria",18,69
"1298",NA,"Tagelus subteres","species","Lesser Tagelus","adults","Cloacitrema michiganiensis","species","Cloacitrema michiganiensis","cercaria",95,34
"1299",NA,"Ceryle alcyon","species","Belted Kingfisher","adults","Mesostephanus appendiculatus","species","Mesostephanus appendiculatus","metacercaria",27,73
"1300",NA,"Calidris minutilla","species","Least Sandpiper","adults","Phocitremoides ovale","species","Phocitremoides ovale","metacercaria",22,89
"1301",NA,"Catoptrophorus semipalmatus","species","Willet","adults","Acanthoparyphium spinulosum","species","Acanthoparyphium spinulosum","metacercaria",26,2
"1302",NA,"Podilymbus podiceps","species","Pied-billed Grebe","adults","Himasthla rhigedana","species","Himasthla rhigedana","metacercaria",78,55
"1303",NA,"Numenius phaeopus","species","Whimbrel","adults","Himasthla rhigedana","species","Himasthla rhigedana","metacercaria",63,55
"1304",NA,"Limosa fedoa","species","Marbled Godwit","adults","Maritrema sp.","genus","Maritrema sp.","metacercaria",55,69
"1305",NA,"Bucephala albeola","species","Bufflehead","adults","Himasthla rhigedana","species","Himasthla rhigedana","metacercaria",18,55
"1306",NA,"Pachygrapsus crassipes","species","Striped Shore Crab","adults","Catatropis johnstoni","species","Catatropis johnstoni","metacercaria",68,26
"1307",NA,"Corvus brachyrhynchos","species","American Crow","adults","Himasthla rhigedana","species","Himasthla rhigedana","metacercaria",32,55
"1308",NA,"Anas discors","species","Blue-winged Teal","adults","Maritrema sp.","genus","Maritrema sp.","metacercaria",10,69
"1309",NA,"Larus delawarensis","species","Ring-billed Gull","adults","Gyrodactylus sp.","genus","Gyrodactylus sp.","adults",51,52
"1310",NA,"Anas cyanoptera","species","Cinnamon Teal","adults","Maritrema sp.","genus","Maritrema sp.","metacercaria",9,69
"1311",NA,"Limnodromus scilopaceus","species","Long-billed Dowitcher","adults","Cloacitrema michiganiensis","species","Cloacitrema michiganiensis","metacercaria",54,34
"1312",NA,"Limnodromus scilopaceus","species","Long-billed Dowitcher","adults","Parorchis acanthus","species","Parorchis acanthus","metacercaria",54,86
"1313",NA,"Anas crecca","species","Green-winged Teal","adults","Maritrema sp.","genus","Maritrema sp.","metacercaria",8,69
"1314",NA,"Larus canus","species","Mew Gull","adults","Gyrodactylus sp.","genus","Gyrodactylus sp.","adults",50,52
"1315",NA,"Egretta thula","species","Snowy Egret","adults","Himasthla rhigedana","species","Himasthla rhigedana","metacercaria",37,55
"1316",NA,"Limosa fedoa","species","Marbled Godwit","adults","Himasthla rhigedana","species","Himasthla rhigedana","metacercaria",55,55
"1317",NA,"Calidris minutilla","species","Least Sandpiper","adults","Stictodora hancocki","species","Stictodora hancocki","metacercaria",22,109
"1318",NA,"Procyon locator","species","Raccoon","adults","Acanthoparyphium spinulosum","species","Acanthoparyphium spinulosum","adults",82,2
"1319",NA,"Pluvialis squatarola","species","Black-bellied Plover","adults","Acanthoparyphium spinulosum","species","Acanthoparyphium spinulosum","metacercaria",77,2
"1320",NA,"Aechmophorus occidentalis","species","Western Grebe","adults","Glossocercus sp.","genus","Glossocercus sp.","plerocercoid",5,51
"1321",NA,"Egretta caerulea","species","Little Blue Heron","adults","Himasthla rhigedana","species","Himasthla rhigedana","metacercaria",36,55
"1322",NA,"Larus philadelphia","species","Bonaparte's Gull","adults","Acanthoparyphium spinulosum","species","Acanthoparyphium spinulosum","metacercaria",52,2
"1323",NA,"Calidris minutilla","species","Least Sandpiper","adults","Renicola buchanani","species","Renicola buchanani","metacercaria",22,102
"1324",NA,"Podilymbus podiceps","species","Pied-billed Grebe","adults","Gyrodactylus sp.","genus","Gyrodactylus sp.","adults",78,52
"1325",NA,"Melanitta perspicillata","species","Surf Scoter","adults","Carcinonemertes sp.","species","Carcinonemertes sp.","adults",59,24
"1326",NA,"Corvus brachyrhynchos","species","American Crow","adults","Gyrodactylus sp.","genus","Gyrodactylus sp.","adults",32,52
"1327",NA,"Limnodromus scilopaceus","species","Long-billed Dowitcher","adults","Mesostephanus appendiculatus","species","Mesostephanus appendiculatus","metacercaria",54,73
"1328",NA,"Recurvirostra americana","species","American Avocet","adults","Himasthla rhigedana","species","Himasthla rhigedana","metacercaria",85,55
"1329",NA,"Procyon locator","species","Raccoon","adults","Spirocamallanus pereirae","species","Spirocamallanus pereirae","adults",82,107
"1330",NA,"Catoptrophorus semipalmatus","species","Willet","adults","Maritrema sp.","genus","Maritrema sp.","metacercaria",26,69
